customer_id,customer_name,email,phone,country,signup_date
100,Customer_100,user100@gmail.com,9524309911,India,2024-01-27
101,Customer_101,user101@gmail.com,9442026882,India,2023-01-27
102,Customer_102,user102@gmail.com,9316306579,India,2023-09-21
103,Customer_103,user103@gmail.com,9544868874,India,2023-01-30
104,Customer_104,user104@gmail.com,9956327024,India,2023-05-25
105,Customer_105,user105@gmail.com,9997974180,India,2023-03-03
106,Customer_106,user106@gmail.com,9375022170,India,2023-03-24
107,Customer_107,user107@gmail.com,9470131740,India,2023-10-12
108,Customer_108,user108@gmail.com,9456132731,India,2023-08-25
109,Customer_109,user109@gmail.com,9592262932,India,2023-06-08
110,Customer_110,user110@gmail.com,9922176730,India,2023-02-26
111,Customer_111,user111@gmail.com,9564464841,India,2024-02-18
112,Customer_112,user112@gmail.com,9506253234,India,2023-05-02
113,Customer_113,user113@gmail.com,9151644734,India,2023-08-18
114,Customer_114,user114@gmail.com,9950180361,India,2023-04-07
115,Customer_115,user115@gmail.com,9323150344,India,2023-05-29
116,Customer_116,user116@gmail.com,9567718179,India,2023-11-30
117,Customer_117,user117@gmail.com,9159305609,India,2024-01-30
118,Customer_118,user118@gmail.com,9802815429,India,2023-10-26
119,Customer_119,user119@gmail.com,9952979045,India,2023-09-13
120,Customer_120,user120@gmail.com,9401009796,India,2023-06-08
